sample_id,label,area,perimeter,circularity,eccentricity,aspect_ratio,mean_intensity,std_intensity,min_intensity,max_intensity,contrast,entropy,edge_density,gradient_mean,gradient_std,contour_variance,fractal_dimension,hole_depth_estimate,difficulty_level,noise_level,blur_level,illumination_variance
0,non_bullet,91.91598825126903,42.7065234267758,0.7345553518240904,0.6970780830944192,1.325805308954788,142.76095677939554,49.68275116931453,85.33957335369416,246.00574647998076,28.569956236023668,6.615812260759557,0.07092592339992213,18.808450336387573,2.9091344749810784,0.021940544184371802,2.0203732127322027,0.10638659551055829,medium,0.4833599834833433,0.2794046627584523,0.1547274228137006
1,bullet_hole,624.8050276015588,43.11193528982866,0.5911699031677706,0.3842291006166214,2.7912883061276696,35.5757749334296,11.938420295829923,12.32839274524128,165.48252304986462,12.081538290622182,3.2869269512596335,0.28095445339016367,15.78960822793773,15.744855207584244,1.4903770341561584,1.9590346810990011,0.8096759471564537,medium,0.1878416779650928,0.17319400532803908,0.5345522466480893
2,bullet_hole,855.2911036729516,286.0747919962031,0.8476016694431239,0.5917801307245989,1.1559877328188182,49.845503318965754,10.83715106199607,49.27813458649557,166.8749016650535,78.47858244706319,3.634080936109638,0.2206137424123909,14.103026421037635,13.508955586173764,0.3677473315562524,1.7303164280423908,0.6996849273161664,medium,0.35602877460535776,0.7214260672701817,0.0723221416740823
3,bullet_hole,1128.0712134155774,70.89355804811191,0.5872018724105261,0.6280189780701755,1.528025692143786,58.1675495370101,5.296919820102258,66.85049011509828,252.125793465418,52.4778594512008,3.4796874357085206,0.16225658232063558,26.691040368005584,6.186225336622915,0.9900046745468905,1.7026712082539976,0.6640101804145415,hard,0.30588279106473676,0.6693848254952758,0.4585572020561296
4,bullet_hole,445.8803052247621,262.6387365226742,0.912420545418265,0.4388697312066803,1.7046177684183565,45.06706743506676,17.87317762596245,4.978100152304377,178.192508000737,55.796504596172255,5.134467725236844,0.38041444739832464,14.906931562292515,14.489540161911101,0.8361195717176579,1.8125762159242116,0.7154204701400372,medium,0.3508307359530881,0.4184655437893998,0.30893174835698894
5,non_bullet,244.83871843861374,73.78609632704078,0.940194597910988,0.10699512973687385,2.3575764445204896,121.0813817359776,14.684544816744392,71.6718585767642,224.1289923110093,26.393934185166312,4.078537596876817,0.13440643558439677,14.75215096950534,5.5018634545984035,0.3658397993937409,1.4541475243363342,0.12915185845226118,medium,0.79173274810871,0.4602686668362793,0.10813533213361537
6,bullet_hole,1023.2495925387356,62.65937880439293,0.35115348887700937,0.44548317173179497,1.80557106809299,72.29217567208143,37.38456485859228,8.92221680572386,195.25322159896214,22.23507005316106,6.948400343696466,0.24640257435231105,22.18592152352168,7.8575290522869405,0.3231605892131474,2.2758708627835365,0.45472292439935097,medium,0.3646942765373874,0.39666572962150204,0.4074251569364162
7,non_bullet,237.8023665100171,73.87457217809919,0.8817720082547338,0.5645181679519183,1.4998034432737797,124.92863882339753,8.608042071976625,69.06153123866363,210.10281122661533,38.31636671207645,4.454445796760256,0.05119471242653058,21.74028141343794,19.47202450028967,0.08785762291841293,1.8971166200155034,0.05564343741376443,easy,0.46813879180948215,0.41268210522126547,0.1897810040702979
8,non_bullet,290.7685320093635,82.10568214353772,0.3755173732651579,0.5121905304281094,1.8877119822811388,143.90905510294942,15.340864445795892,65.31367332918553,165.59073421555487,48.80104940935668,5.108593526501059,0.14950328222535583,6.377740998516669,17.981712773323945,0.35149586307340974,1.5161259983487623,0.17279096440190211,hard,0.28755401145730475,0.40216214990064847,0.49966093124952826
9,bullet_hole,473.9186645973781,64.40017935776584,0.7155208740678858,0.10635721488318993,1.2684048526527005,49.57210028515922,40.46161996245511,33.96606204814427,224.33452180362485,49.01973212690994,4.024084692246053,0.27778978267126486,7.906842007322016,11.655386895440547,0.7682925365585451,1.5678735828174408,0.5251436323150549,hard,0.6030037483046251,0.7099335146381978,0.5993975848696922
10,bullet_hole,1448.9291771707626,258.2988227841629,0.6971236746309655,0.08009346519575712,2.802893659076759,99.74077629716581,35.65861035953759,86.84761512027696,237.61505759010294,68.31043506407602,5.79269544285962,0.15199529853661703,13.404006443612996,7.552445826488354,0.22605979939233412,1.882568909214811,0.576267793710551,medium,0.6741252528345246,0.6977061954676426,0.1270909883605017
11,non_bullet,206.35883385898748,148.65565107677938,0.6226098013348462,0.35273502087010833,2.3573201876537944,131.05964525072457,28.14930908175743,96.14175778465733,212.92413937147714,66.52345549563363,3.4374236124379154,0.08548534565972209,13.421192536178818,12.250682986458653,0.4305567600307128,1.3783382177620067,0.06859330394001564,medium,0.20443109853353308,0.6952223957103193,0.16706754732109658
12,non_bullet,227.22269364828432,243.94550934687967,0.44640593651791005,0.561095086568954,1.5072312552771283,142.0991153298515,53.605336385726275,56.14779437366768,169.52303229181038,25.70584229889402,4.9753967828324015,0.192704384859227,24.24105409709136,10.789573570865212,0.16885957228110854,1.8492684933484425,0.19430327136082784,medium,0.7112706250714648,0.64875001191696,0.22853483895331955
13,non_bullet,246.1220360226132,195.42477306214394,0.6804940248141216,0.4607120754903103,2.2809665862844244,148.38765787445266,19.269704408744197,8.464875358462898,162.52352556417307,25.720766785773073,5.000791742091141,0.16968412260374383,22.532333552209604,16.20273087563685,0.1754878119630457,1.70465374164855,0.14572303135855538,medium,0.44526141449295964,0.23431122908315108,0.08366916197896461
14,bullet_hole,1172.9282477265492,94.37533831744058,0.9121807250326013,0.5028082164224423,1.2105303249608506,62.127880264574415,36.49755487211792,50.05808894482987,239.83683387793417,47.148663283446496,4.020929737377134,0.286475422352711,18.564386313389505,6.194803308803704,0.9457162153257803,2.121535577889686,0.9287340471571434,medium,0.17142818829300782,0.5415957270515782,0.24227185768141563
15,non_bullet,169.7079324867936,227.95131623877805,0.36113888314858267,0.7635472793633117,2.2446332744971036,141.98382486143205,43.8695217374508,29.8039332094451,193.27013971435204,25.66448703896834,6.730144343208895,0.10273984494926175,20.76120289144975,15.216896549552878,0.18555304554976948,2.020101654539141,0.16644782134168834,easy,0.6569943673172551,0.5939615337117626,0.319076445112537
16,bullet_hole,1149.882714986907,81.84438776134618,0.8459988451085627,0.5936845599683297,2.78952397402499,35.19233369160185,11.46564870165151,99.02225346150739,171.98770496474302,10.824591340064941,6.989691756214217,0.1483758599057896,21.700486312813997,5.180281655173493,0.9542970918588842,2.204034986454559,0.6870242624326983,medium,0.39013587557132895,0.5691777832310515,0.15334697383912907
17,ambiguous,502.87344608906005,269.81648216782025,0.8463923548025747,0.40465949165790877,1.0781573720039104,83.66581748654906,40.11990500710524,5.059685367658173,247.25939599408275,77.31418796377149,3.757960583598417,0.1385139818304329,7.306725114069069,15.131304714316197,0.1736438330763373,1.981050111730445,0.5012556817873643,medium,0.4296573819016334,0.20189725688326504,0.2733604892764068
18,non_bullet,221.01172405729466,295.57127092946905,0.7337782559827573,0.08288513937247242,1.6532438114960175,146.04649060152093,39.28229385674816,5.63332777992398,152.50784008851,41.50169676694618,4.33076071877068,0.09327673552630152,11.56733274700013,4.964919444973656,0.34457167849016884,1.8145711162678004,0.12064442713159274,easy,0.30011565843702515,0.32371259838199884,0.3754943492148292
19,ambiguous,545.2347869919449,248.14326810385654,0.4234042291761299,0.13262909019022484,2.442574537947653,124.95272919679238,13.60348053518905,84.99374914047237,226.24989580552102,68.92777550556838,4.196050718437384,0.07015363147800811,21.78053890865794,2.566027191061056,0.36324837316871134,2.1357830708546013,0.4846406914752622,easy,0.461372689953078,0.6354151810619281,0.14603600434024405
20,ambiguous,363.9060541478104,232.3151458884573,0.9270488112384996,0.10517251566182424,1.1068692047820343,106.23016651527273,56.56526855740362,52.98756255182061,214.5648165295283,43.76965211163102,3.374629810429898,0.15593698189954666,23.680616127214673,7.610659786870616,0.1531196226142002,2.1378413809055186,0.45881491419898357,medium,0.20426794330599496,0.7167736038495961,0.1911639294427529
21,bullet_hole,364.8971049603763,272.3417922323532,0.4720221782491949,0.5834493685328399,1.1999704949675534,89.13542165061381,6.84502292766868,56.03989538199428,222.95689582945323,65.70507118235514,4.360864953821339,0.05228389365011045,16.987980927783845,2.285363816724206,0.31957986387203996,1.6266890225317483,0.6540588623131542,medium,0.4778790371701329,0.29562860886075404,0.3700258965775893
22,bullet_hole,490.2320213901692,296.0915159789089,0.6601379492491369,0.7481246481318556,1.0106979773884457,59.81252085256773,46.1531343399495,90.30506531025154,164.67065953279018,16.728809621250605,4.698290428743823,0.3767876171465273,18.55966400476097,11.494216346991179,0.38346395378911846,1.3007895110932188,0.9072692765159716,easy,0.7576050680590959,0.16130219409036678,0.39861740030442816
23,ambiguous,463.48895976421545,212.033358173531,0.3867547715333835,0.6543932790005466,2.979473195424542,73.00125158056923,25.756319373612698,44.47558982020126,154.8755338256953,10.96132316578048,6.685677339505311,0.03443857148344649,16.14446868898676,16.676383229400106,0.4446593799641598,1.8193976852834677,0.48991711914054514,hard,0.5737743937319624,0.5687787807242908,0.5787603585790434
24,bullet_hole,455.3737097896216,135.71501689243988,0.7636591241758268,0.5445674351374372,2.249401338813216,36.1402349203975,20.539747501434398,37.8024949434402,160.80934519353005,60.33159743035207,5.015555187165094,0.2980679713209791,11.22358811992182,7.839888115431192,0.6344799384381491,1.3257424097472161,0.7376152697542484,medium,0.4057859046229677,0.6623132014626235,0.5435141726623561
25,ambiguous,416.2361012057387,107.44025174589842,0.49086105464391816,0.3496988837156509,2.7048608351382377,111.0764056521715,32.51638309166956,67.89008422302074,191.15661272881863,28.4523807864817,6.8185606428649255,0.12468043695338189,28.34878346456796,5.661434039569671,0.07344708195646638,2.1558229071239037,0.3441479022771281,medium,0.6606879094629386,0.23060494947754895,0.19814783536494573
26,bullet_hole,1482.2548998274106,58.8876405171483,0.7676489789854817,0.6909264980244807,1.5139045990169397,38.07107632373345,6.150023178437923,22.30900184453558,155.9341475336595,17.237645564102905,4.72603247939057,0.13047142980157142,17.898646963135583,6.562887558629427,1.4226984914338319,2.2059439679262645,0.5733692055575074,hard,0.5751045787578495,0.34809679439117036,0.25963078511910453
